item_id,sumatoria_horas
72850,136678626
107100,2077335
57690,2853513
91310,10227991
113200,16383565
65800,14978973
9200,1424529
41070,1518355
48950,52995
92800,414131
104700,2052392
203770,9877451
203810,81969
110800,2124648
207610,4826868
98300,161619
50300,1097938
204300,9799567
1700,19254
205100,7512341
211120,202099
730,785184267
49520,80428584
200260,5270681
212680,11340421
200710,9095339
219150,2685425
215510,58474
8870,7621611
200510,15027555
220240,12185296
218680,2593257
228280,681047
212070,1527230
218230,41441966
236390,43565714
3483,48743
203160,5428088
227080,36862
233450,9398643
43160,1954003
219740,11916827
322330,9748900
222730,547725
241600,2851425
238930,23171
217140,139242
39140,1504005
225080,187942
239030,1526035
248820,5253464
239350,1737472
218620,99763914
206420,12615516
236850,14528532
47790,430740
47830,430959
250320,1265256
250900,25800414
204450,747512
233270,1262995
251990,218906
253980,142611
236450,111222
242050,5380793
257350,414996
213670,3360381
238010,2524846
245470,545248
221910,1355777
260230,265179
238430,1486506
261030,1832366
261570,425545
263980,105635
39150,729564
230230,1957520
373420,978355
232790,192331
237990,373695
273620,5137
222880,11321864
225840,635875
222900,1343806
280220,332426
236430,10014461
201810,2496902
294860,949243
295690,42418
238460,3841832
237930,576028
301480,36385
303390,171535
306660,87062
316790,177789
318430,98582
241930,6294106
328080,9718
282070,1744547
333930,10494040
334120,5409
257510,633971
319630,1715044
346010,2757992
255710,7582614
232090,7329820
232150,39428
377160,45274661
340170,137976
391540,3349749
396660,1541
337000,768185
368230,281200
496300,105181
231430,11496852
289130,1901987
268500,5142703
461640,18650
379720,1879473
273350,4431054
80,2503938
100,311999
3910,510990
4000,448366616
6880,194655
2200,78675
2270,32636
2280,78153
2290,15646
2300,66762
2310,93387
2320,67628
2330,1452
2340,1197
2350,9121
2360,5172
2370,668
2390,8086
9000,3329
9010,103106
9030,8996
9040,9449
9050,197894
9060,13420
9070,23905
9160,8080
9180,18718
4760,3019744
2590,16403
4230,80951
4290,73938
8600,432228
8660,976
44630,73958
15310,23532
17100,54505
17120,19447
21000,170010
17470,944423
27000,17883
23700,30541
22330,5216628
9870,93044
12830,199003
24800,818077
40200,484
40210,203
39900,38
46410,19302
33220,785012
48800,137588
70100,135720
70110,109788
70120,87065
9940,42871
23490,384212
57600,289886
60600,1668
33950,3668
12210,13018876
12220,4127878
47810,3510522
39670,21894
90100,30686
72200,1659361
65070,1140
31700,29382
21100,729225
48210,273784
91900,116087
70000,1167320
91600,1413934
41740,18192
104200,104089
22600,864012
22610,43825
92100,57190
104600,47347
98500,5851
94200,75476
7600,216479
37100,3414
16450,528054
97000,302457
3270,18425
15900,389
15910,793
15920,5574
15930,3892
15940,27
15950,3050
15960,5004
15970,4197
15980,516
16000,1371
16020,3
16030,2339
16040,2969
16060,27
32110,1691
32120,4598
32130,326
32140,1634
32160,22588
60340,7560
22650,32419
98800,894099
22230,230586
34830,481614
61100,19665
32800,830926
65790,221406
107200,1084333
111800,139427
28050,4564563
17710,369573
63000,54568
102840,181460
55230,24616505
115100,221209
80310,37904
65730,56419
201280,152553
71340,739904
48240,2666912
61310,10991
24480,48017
1600,7135
41900,48762
105450,4981071
8650,75211
48000,858075
115110,169820
207170,612163
207650,120098
108200,137760
102600,1178406
208600,31410
209610,3151
15560,31203
209360,5201
50510,7301
207690,78759
210150,9337
205610,142609
205350,111400
104900,2201887
205530,12125
3990,139346
8800,935509
16810,122422
34450,2302
34460,69995
211360,56929
98400,106034
204180,70322
108800,1603614
207730,4690
204100,2099391
207080,141565
209790,20462
213330,423444
212010,91628
214360,471018
234740,15867
201790,4293449
108700,44184
204220,15744
202170,4766319
33600,13697
214790,231460
72000,42848
218640,267385
209540,158585
214560,1670838
206440,247287
220780,383302
204360,6952338
221260,828909
215790,10059
219910,40816
220860,322894
65740,108611
34030,5735217
211160,81167
217060,31748
43100,23535
217790,16015
223220,89945
4920,6359246
33670,73871
218740,63510
219950,4988
38600,289297
224900,7723
223470,2132096
223630,46541
203140,5655705
205930,208158
20540,1483630
55110,636612
209190,112013
226120,11179
221640,1061136
34870,516831
224420,249120
105000,18297
221300,37422
209950,112411
4570,744402
71230,12414
71240,5135
71250,173548
71260,7497
222980,171020
200900,368381
35720,1419758
209270,751137
224700,3634
227300,6957469
204080,354429
219890,662334
223850,206251
286080,115671
224580,1401885
225260,919161
218060,324256
217920,23119
227260,7875
232950,44157
230150,17030
225420,303575
234490,57766
233740,283369
235360,162558
234900,58753
233720,2104273
234710,1816986
220900,18085
210770,2458733
113020,1381756
22300,2149923
235250,120886
224760,564218
234650,800425
236730,46063
215690,65978
57640,33566
236090,755325
18490,3212
268540,25714
231160,158599
231740,376465
242760,5911712
242800,34669
242920,3996666
243120,83069
228960,72023
242110,59360
238050,8915
95000,27330
201420,60847
237530,571
244770,648654
244850,13953981
244890,26208
40390,284095
225640,186765
246420,292989
40300,203689
207930,40011
234390,218131
246680,6362
246900,633658
255520,82201
265210,339219
247020,316755
214770,346805
241620,32832
244070,70930
243780,68293
244590,54892
248370,8401
248470,17576
248490,66452
248710,5455
209000,3953442
239820,3416608
250260,166755
250460,73409
250580,133590
214550,61431
111900,93275
251530,26424
251610,96980
252010,48980
252170,19830
252310,21722
252370,12911
252490,81120416
252570,13552
252830,5983
252910,3929
253130,12068
253410,4511
253630,29918
253650,53475
253880,4661
259280,2040
259300,2151
3370,52124
3390,22103
3480,281161
3600,13931
78000,801439
3540,168116
3620,75968
255320,20522
241540,3103820
224860,39611
58520,396265
204560,15159
208730,122922
209730,25366
219780,241528
231140,275931
58610,524770
205650,72530
255870,30603
29900,9955
91100,40783
207040,12385
217690,60854
57740,325588
245620,1304786
247120,4409
239160,1202415
233130,1018871
9350,369062
9420,2215714
39650,87448
39690,105093
50650,2018300
65530,24185
214870,133239
257690,6353
257830,32072
209390,8715
231720,21112
233210,1515
235800,442386
45500,25222
258880,10125
258890,32765
258950,10790
259390,39277
259530,46035
259570,18163
259620,26363
259780,33898
212480,981859
259870,24409
259890,16448
244090,52421
207750,72192
3020,28752
252150,61904
262260,24042
221380,12658783
262830,74674
263080,8059
263280,1331173
367690,3484
263360,36411
263520,11110
263700,6796
264140,1016634
264280,90446
264300,23088
260750,4408
260770,2250
264730,70027
70210,23944
265870,21000
265930,3810789
266010,219159
266330,12164
266390,20827
266840,2585887
266940,4383
267060,18030
267600,38531
267610,6041
267960,1335
268650,1365977
268830,21387
268850,2055183
269270,18450
270190,9087
270330,7085
270550,254549
267670,7606
270750,7989
270760,8046
96200,49467
237950,12591
65780,24728
260210,100002
272990,289
273760,3108
273940,12983
208670,43358
224480,622577
12710,305128
12770,15123
44340,119070
12810,583656
44320,849295
201700,243223
321040,450723
274560,65094
275080,22523
275490,79761
277430,163954
277500,19307
277590,79621
34800,2210
10270,13664
279140,73943
281410,3581
281690,199259
246620,1403598
282100,43300
282140,158371
282440,1034892
282800,495619
283040,22355
283180,11653
283390,30762
283880,20196
283960,16809
286320,15263
286500,5246
286540,1017
258180,69933
287840,8339
288160,42766
289650,1007722
233290,212637
289760,43452
291170,16643
291270,6346
292410,64989
115210,13686
4880,5805
115200,8949
294020,55945
294230,19189
294530,9716
294670,1521
3050,1341
200370,115711
296470,451708
296630,947
299580,59
300550,448541
1500,61855
1510,180332
1520,221438
1530,48400
300820,1550
301190,30326
301200,20771
286690,841794
287390,879134
302120,4891
302130,1791
302460,593
244160,637427
304460,11866
306020,615004
306040,46425
250400,943125
306350,31220
306410,41088
202090,1068078
63380,3200706
307050,20079
307230,38249
307760,2622
308330,922
237850,77402
311850,1001
312280,40444
316080,6443
317250,24115
317400,414279
317610,5611
253510,38878
318100,25642
318230,32755
318350,176
318950,523
319230,8922
319270,7097
319400,368
319970,12569
320300,456155
45100,162981
289930,42484
7860,21948
46250,6644
287450,1164848
323320,169131
241260,60838
323430,100
302510,333612
214490,975281
221540,143004
307690,824308
326190,24562
245300,13764
286880,4543
297860,24667
301760,1784
301980,3369
311770,31670
315440,7591
316030,3650
316260,5781
316320,887
317580,18
319170,5581
322600,6085
327740,10719
327370,740
327860,71306
24240,9010606
328880,63
329650,254
329830,9048
329950,51983
211420,14511426
330350,35483
330370,227
330660,7310
330840,856386
331790,25189
305620,752625
332480,12006
332710,14039
333740,10342
334620,5412
334840,5277
335200,7053
335240,968572
337420,13072
339200,38052
339800,1044902
340070,22127
340300,19862
340310,19736
341080,0
341150,7066
341500,56271
341550,13775
342360,7160
343390,9805
335660,14435
344030,207
344040,55977
344790,3665
215080,1602296
301910,555015
345440,13074
346040,7382
346110,38546924
407530,289837
346140,5209
346290,5886
346900,16044995
347350,100
347360,38
347370,38
495400,37
347430,35517
347590,5621
347560,51236
348360,14047
348670,45338
349260,14848
349500,20229
351340,20053
351490,33453
352190,8223
331160,1525
331450,202
331750,1503
331970,2130
332260,607
338300,51
339040,661
340990,263
343140,106
353640,16239
311560,387012
354500,1503
354510,423
354520,774
354530,464
354540,390
354550,754
494710,67
354640,146105
355150,44715
355950,1
356040,139288
356570,212933
359040,7409
359050,371351
359320,5307077
360590,12421
360640,62394
360730,37806
360750,6
361160,3875
361190,32806
361400,7156
47780,638127
362620,103896
346680,1095
362890,533052
363460,18895
363490,30761
363600,115592
364270,31693
365450,159602
366990,15
238370,288677
397080,3508
363580,6914
370510,35679
370550,8817
370640,758
371420,29621
371500,2722
371510,12417
371670,10768
372030,4263
373110,53875
375250,7862
375460,61784
375510,38781
267750,59439
376870,330362
312530,668805
380700,4466
208650,2096888
267490,39659
383330,27736
383560,14135
383800,5503
384480,7680
383870,228916
384740,3425
367580,32129
385080,17029
385830,44152
386330,0
387840,17307
388080,321223
388160,2
391070,43218
391420,30275
394310,209149
394540,13872
395270,166
396260,812
398710,83248
399430,24711
402670,9
403560,23213
403570,21813
403900,26862
403740,39051
404480,21186
405640,202853
408940,1
410210,35915
411960,26172
412600,13342
413150,7016733
272890,26133
415420,9584
416080,31769
416550,5122
418070,84455
418910,52037
2700,942672
285310,114654
285330,106996
427520,3154818
431240,615354
432020,191159
440430,63
440431,85
440432,33
440433,16
440434,7
440435,14
440436,28
440437,11
440438,137
433950,38236
264240,74664
438010,11734
438020,885
438030,21746
438080,8271
438180,14703
310380,530842
439260,26
4720,45332
34270,296875
203750,125390
444480,17968
444560,24531
448630,1515
448660,5889
449200,18681
449540,18502
451880,13642
454200,9953
454890,14746
463210,14099
463220,12556
463350,15117
466840,12661
469730,67540
473450,3230
485330,9114
485890,4693
491330,5943
397060,91948
1200,271409
1230,17401
1280,261666
3720,416597
32360,128844
67000,10971
47900,564409
2210,73172
22310,9943
22320,1599198
22340,42057
22350,938182
22370,5762510
22450,35630
2820,688392
201310,579687
230410,124027703
224500,588579
214730,37510
238240,274244
248390,664649
2870,319095
252110,27520
254200,179781
226620,183153
265950,10034
391920,554
211820,28222587
367540,434941
275850,1792748
292330,1482
226860,432981
38410,382964
247080,787352
315460,101137
324260,23701
275670,104818
340580,6424
344850,148143
351510,25506
365300,23706
298180,5807
370360,58383
372190,39
383120,487568
388880,25651
234140,2984149
396890,23001
404410,260280
416690,36116
364360,4947418
452780,191041
454060,18608
466170,510152
1300,10632
1309,81
1313,2019
6850,163432
12100,304821
12230,21510
12120,3224187
12250,425853
12140,284475
12150,199683
15100,887372
16600,96475
12750,752849
12360,161822
17300,934633
19830,51988
19840,81
12200,1415995
11590,19624
21660,366187
12800,135035
13570,133594
40700,148539
18110,62715
12840,461376
33610,12745
32430,712220
3730,87893
40930,22938
34010,234659
3960,1014
3980,12286
7610,15397
7620,823
7650,49839
7660,69682
7730,8847
7760,187144
7770,7416
7780,15
16700,29378
40950,187952
40960,36032
40970,183040
40980,20501
50120,5229
41700,1398076
45740,838326
70300,208191
35130,127850
47870,1216877
36700,7081
37000,19588
227560,38025
18000,72073
18020,49135
48190,2304501
63710,334605
95300,49346
92000,50430
45760,3461792
57900,673659
201870,1437744
200330,172
67370,739805
207570,17299
57400,1213474
204060,64872
6860,1273499
6900,80142
200390,31742
209830,45987
205910,158612
108710,1006373
202750,172910
211050,46619
107800,75519
108500,71993
65300,191822
207420,44702
214970,82199
207210,208395
219680,34395
388410,243864
238960,23168503
230980,22912
228300,311630
65930,599072
206190,778670
231040,52679
261760,152837
296490,360100
296710,10026
326120,14443
240160,7114
240180,4010
240200,6077
358170,86
358180,712
358190,257
358200,287
358210,324
358220,161
358230,115
358240,64
358250,1164
358260,733
358270,1202
358280,741
358290,265
358300,83
358310,84
358320,114
358330,82
358340,641
358350,120
358360,929
358370,368
358380,289
358390,127
358400,121
358410,628
358420,184
358430,302
358440,213
359850,1177
365810,20989
368340,15075
370240,2177719
371180,22824
292030,11760429
373360,14335
205230,103062
205950,143854
2400,1048156
2420,194048
2430,14828
7110,72546
2600,613286
6920,40278
8400,74257
6510,43655
12160,30635
15390,73325
11240,16469
19900,1194748
6000,664253
6060,5318132
3700,185620
36000,26158
21690,1030532
6030,393149
45700,293811
42120,130636
28000,94169
32500,425819
2450,173980
31290,100625
94500,39462
94510,31956
94520,36537
94530,28436
2500,95552
11200,57968
105400,1102181
91700,606225
94590,27121
94600,14585
94610,8920
94620,7756
42680,4920089
42690,25327699
57000,3080
63500,93097
99700,35276
45000,131952
91200,175080
93200,163427
98100,8429
102500,1581808
24420,34425
26900,50426
201570,147446
6120,85322
41100,47629
11420,28970
107300,34709
107310,170330
213030,85930
212630,584804
55150,2123562
8200,49151
8210,31288
8220,20060
8240,18970
8250,15572
8260,26254
8270,16853
8280,20409
8290,15598
8300,16991
208580,2439848
214250,151577
214830,124783
219640,18877012
232210,227924
202970,2826514
202990,38641656
212910,9703160
42160,2577694
206980,56828
211400,302945
226700,8626005
220440,820705
227200,38314
42670,13382
224540,7254821
227280,80610
368730,88528
51100,1554529
99900,17259605
107900,736924
109600,6467508
113400,14347147
208090,7398801
215120,60566
209870,10605796
242720,1483084
224260,7945670
245550,451933
343450,5159
257730,609582
227100,730917
221040,1558107
230050,344113
232770,53377
222480,321017
234190,207578
238210,275251
239450,140810
237110,1556771
218820,223342
207140,3275625
242530,15857
245280,82092
250180,224171
4580,1881366
9310,295751
9450,3694776
251130,87818
251470,123346
252950,35886124
253150,7760
249130,2915352
247660,75190
247910,441070
261110,103207
261180,533434
246580,85638
242700,1184788
261640,10128321
265550,788425
257750,201959
221100,36440994
268870,118439
239840,205492
235460,891896
271290,1786162
273110,1508864
274310,186225
275200,36864
235210,102821
254700,472052
285900,497569
286160,1964316
20510,515443
295110,11005391
362300,18934
433850,2444779
439700,7999
295930,27298
298630,1763696
292120,855939
108600,1766219
246110,74845
304930,50953961
211500,280832
307290,68389
307670,29663
227700,2680811
311340,486246
274290,103766
312990,688915
268420,2917824
227940,14037711
315260,9614
298520,72049
301970,129143
229810,24770
317300,26228
2620,126048
2640,85276
10090,7665369
239140,6904927
327510,54104
330830,1155721
331470,126971
249050,740548
333980,125600
339610,1503182
304240,124961
343750,22077
287290,271097
39120,7437432
350080,319570
235540,1488537
45770,329246
248610,304024
274270,70300
366844,2
374320,9635703
374570,24057
381210,2878781
383790,8244
38400,365367
38420,87675
311210,13201968
225540,3586540
418340,272580
427190,15013
350280,13814
324810,44440
6570,2737
13240,205759
13230,349119
17430,521106
23310,546283
16720,24979
10680,1476299
13600,62813
33320,65036
45750,126411
49470,943833
33420,78996
43190,31501
111400,35522
107600,26468
209120,159613
209100,90713
203730,101516
239430,29084
42170,84895
210950,11681
20530,116945
20550,39614
209080,3425754
211260,93020
111600,34422
201480,14684
204340,189079
208200,504006
96300,161443
49540,532083
36620,931668
207230,888680
212160,3708302
238070,8094
223710,1104636
262410,630819
227680,341738
225140,443196
233470,196082
44350,1322925
216250,3118010
230310,12480
214950,17720202
208610,191873
245170,1352527
248530,40807
241720,282479
249650,148332
242570,132535
225280,83269
238320,768588
250110,28638
252630,73308
255370,41097
234670,1326070
262060,2060131
262150,68946
281050,1
39210,7562552
263620,41651
243800,57025
265300,273139
269310,52264
226840,919382
287700,8290721
274190,1957007
290080,1799976
261510,24488
294810,115493
298110,3284432
301520,23435234
301640,423776
224600,4050364
306830,464094
311690,1339766
291480,3073612
244630,97847
265590,78240
313340,425388
317620,47523
319280,5338
320240,71848
274170,794112
322910,74092
323370,9813621
209650,727347
209660,3808965
328070,114919
268050,308485
323470,2501205
332970,860
337630,19932
242680,1907134
341980,7485
342200,910843
314660,107103
271590,59709682
307780,1553480
107410,67331904
339280,476231
351570,2730
355840,344838
306130,5492455
361700,786
361710,201
361720,864
361730,238
361740,351
361750,168
361760,175
361770,173
361780,242
495460,83
365590,5557313
365720,12726
367120,24973
367500,1462428
369990,25961
372000,2764350
373680,146599
375230,210695
377310,13508
314680,1
366080,0
383080,1423882
383580,41435
386360,12878671
393420,1217822
445900,1
396900,5469
299360,1871791
319510,411253
332800,298056
354140,136508
388090,47790
407840,101043
394510,501630
236110,3758188
369200,526487
359550,10061530
435150,18680
290790,268040
444090,155286
394230,904007
363680,438408
18300,23162
24400,107973
48700,39616648
57200,12651
38900,26857
43000,72713
46450,41449
40420,7697
15740,63215
15750,105010
57650,93383
15120,380055
21980,114349
249610,13207
13500,40040
13530,30477
19980,41208
19680,365371
70420,33859
33460,505695
200910,77619
203630,544778
211340,53187
207370,17323
207380,20189
207400,31754
204630,188488
218410,171761
223510,43574
223810,53972
223870,32778
265630,2661706
286100,116105
264380,36606
209060,43546
230700,118325
220200,15695706
225360,40321
244870,172148
244730,117454
248650,50432
248860,261071
249990,186048
252410,197668
253610,11124
264200,840095
266210,232218
275390,68980
275530,21207
282900,810609
116100,9492
290770,51125
296510,7045
302710,25310
310080,92398
310850,8195
315540,329
319080,1758
321870,19164
343360,102214
353330,9208
363790,10006
363970,33263285
384360,12203
385770,2934786
409160,37767
17390,3449710
17440,278325
24720,1544853
12110,814989
12170,14990
12180,8520
12240,50545
55040,172293
35000,76434
205870,10302
211600,98074
208140,1863047
204940,4731
221810,105629
227240,177074
221200,1163
242590,41570
204240,88156
233150,263514
55020,1149
209520,101259
242880,321099
246700,74992
242940,18290
239070,688208
239200,221249
250760,596523
253030,367170
242980,5482
262790,71574
263420,15728
274350,10524
290890,47905
304430,69963
232430,134553
316010,1368869
317410,16392
265890,50685
271900,77993
304410,119998
329380,118033
304650,489549
335300,5139094
360740,118361
243970,275036
317820,61117
230270,27666
474750,46404
496920,8124
2100,441870
2130,58805
10700,589
21680,15393
37400,12956
37420,13012
23380,26550
32400,68686
32380,69493
32440,619046
32470,1934300
65700,71592
65720,75880
202730,9474
64000,1465887
203210,49888
207490,154794
207150,48280
215670,33372
214340,212499
209670,321598
200170,1292431
220740,83291
223830,356216
1930,162866
23300,6867
80300,8414
219200,46531
36630,383080
102700,290982
200210,20181207
212800,385493
29140,3394
29150,3416
31500,1645
248570,2595634
216150,6133671
239220,3493236
228260,319449
219190,33559
34190,42024
200940,58466
202530,110133
203650,48452
213610,378591
229660,1
235720,3667
233250,2770611
243160,21632
205080,13577
244950,1952
243950,233001
242550,199389
237630,82806
248310,106628
249590,38733
226720,161983
237740,89950
251730,324689
252030,74832
252350,40388
252750,5666
253900,101666
254000,3965
254020,5406
254040,2366
254060,9282
243000,14305
257120,41181
249330,71535
241910,63185
258910,28933
260790,24248
236470,1594
262390,33163
263880,8612
264540,25468
264690,40603
266150,155602
266430,415970
267920,39722
267940,264
268240,30876
270450,189068
271670,25070
272470,134148
274230,60114
235320,8189
257970,41074
276340,693
277850,4173
278360,193783
278530,97816
283230,18168
283680,37674
284460,45494
285980,6679
286360,34191
292600,15599
293660,6996
293780,105940
256290,236978
295490,9954
296910,87444
296970,128961
297020,93246
297290,14805
298600,81388
299260,39826
299680,1263
300570,97314
300580,35361
239120,135049
292140,262545
305920,2874
307070,49418
307590,11621
308040,14845
310450,3060
240760,919589
259130,13998
404730,238446
312610,39716
312750,70228
313080,37145
313400,7214
313740,712808
269210,1112434
314830,21778
255070,82655
315430,84562
315650,198
240970,50721
317280,1534
319910,68777
7000,70912
8000,102745
8140,105711
224960,57948
224980,20265
225000,22343
225020,17837
225300,46697
225320,32906
322110,17130
322290,25560
323380,42378
325370,18309
305050,45610
258970,412733
327310,12396
327890,164443
328060,60840
328760,43729
329490,51453
330180,15033
331340,8221
289690,35285
332500,466758
222420,23133
335670,132115
337150,25706
337270,6280
338170,93804
338760,7337
341530,8351
341800,208321
310740,5570
342620,27425
343800,6023
345370,112140
222440,35083
345820,61217
294440,16955
347160,17612
349580,40427
351250,21609
354430,3903
355250,2852
356530,9320
356500,27650
356670,110433
297130,72878
359580,12026
359870,481730
361670,4599
361690,4980
362680,37368
329460,5858
365770,17663
366230,227
366250,19376
366260,1663
366270,21
366280,15
365670,1154556
368160,9406
351710,248842
373480,852
382240,70851
382900,20878
383980,260513
385710,28505
386070,723830
386990,11583
291550,6519075
295790,54493
393360,7011
394690,252027
382490,219796
350210,242
397500,41195
406440,341
329440,40144
407230,40488
265750,16508
386800,14615
282210,56946
65980,2994359
441550,16304
442210,5406
99300,54861
429330,21272
214850,1685559
443080,12741
216390,133654
234310,401961
243870,13656960
291150,52775
33900,418979
243470,2993133
209160,794339
209170,4314824
238590,183914
326960,493
444640,484802
113420,1564340
205710,67833
206210,1810865
212500,2794339
39000,396784
214420,602177
233630,198230
251670,249360
226320,3897182
246280,479340
253430,345782
270370,260970
319060,17
302830,1121306
304050,17558622
310370,27200
317360,509218
335330,167606
346330,53056
349480,112355
355180,305778
381990,51156
402840,1248159
280790,1078537
415860,5367
438040,482462
351630,1593
521200,11965
4770,90058
36100,680
36110,1394
36120,2330
44200,16926
209690,21700
61600,11695
227580,144833
215710,65297
202270,46906
241320,41672
251430,25850
251490,2912
25800,776700
226960,45662
235980,11674
94400,384803
266130,109971
201040,11945
287980,222854
290260,12081
303210,84484
280740,151027
346180,12617
346420,11248
450700,952
375820,47034
46400,13097
233980,356495
231310,22342
337360,296
247950,28837
383150,78863
383180,16542
208480,3981399
38830,262424
214510,547723
32350,66180
32390,24795
32420,51058
352400,287149
11020,1186028
11610,2973513
17080,3048414
290930,250225
269670,20455
389570,743744
391460,203017
413850,6297
413851,2164
413852,180
413853,572
413854,398
413855,528
413856,539
413857,236
413858,364
413859,177
458250,57
458260,147
458270,68
458280,58
458300,50
458310,65
458320,80
497810,13
497811,6
497812,15
497813,9
418040,2364
3220,9375
109400,1605125
203290,1978793
218130,327094
218310,104168
258700,333715
218470,228132
237310,5058844
250600,15361
269390,29019
206500,3235652
241640,56033
253710,1394026
263540,297331
257710,18617
260410,35107
264360,196599
285580,35623
290730,143254
291210,79598
293540,263544
294160,42266
295550,202151
298240,262709
302610,65356
302380,129947
270570,24226
9880,2055759
314970,43689
315640,92642
317470,372289
48900,5481
293500,57213
312150,20945
223650,88578
330760,11627
17570,619130
335150,41504
336670,5545
338180,20222
338540,125387
339120,19897
340810,37903
341720,9854
342570,18551
342980,40723
316390,105533
345520,185876
345650,4794
346120,285299
347630,137
348700,4965
350020,11356
350700,22619
351790,7975
351800,19635
352160,4650
353360,9328
351140,13790
356640,25368
360760,7744
360870,22785
362070,41353
320590,15397
365050,2414
372800,133319
376570,453751
378300,282
380840,64094
384400,949
387860,9196
388490,3231
388870,52559
391260,47278
391270,7996
398450,2642
404580,752
417860,314937
417890,26935
427270,465712
424280,110830
436110,3319
449000,511
449140,130474
457420,1849
7520,526043
6310,52528
13210,662714
13520,327093
10150,751999
25990,24562
73230,51627
42640,128773
39540,79992
39550,70604
94000,2161
48720,2724003
91810,7128
201760,226693
25000,354047
10220,77290
115320,750946
211580,157442
215280,1692974
7510,88676
215470,908722
223750,265976
233860,406144
227860,339478
226740,43710
227720,30000
233390,5899
242860,1598155
236370,272866
244710,52961
245130,57310
229580,32777
244030,64872
249360,38718
235600,1650515
232810,746218
422420,3474
250340,959444
250380,14138
250620,46135
251110,7679
251170,214332
251270,14655
251890,5542
252250,8416
252870,139352
253250,346676
224460,43458
249870,300516
238910,96790
263440,273634
263760,889551
264710,2011635
265810,49002
269030,29695
200010,297910
247730,1551690
271570,43460
237870,323186
274920,162044
274940,934156
316110,5403
275100,29246
349740,0
251570,8105074
277930,23508
278460,117199
281990,2840498
287600,8025
288040,3953
294100,1347050
296830,31322
298260,95725
297810,204587
299860,186240
304030,3326991
307880,158362
312840,68906
313120,1021587
314810,11862
274900,186279
318310,7246
322920,173647
325210,3075
328940,24180
321360,351430
332310,348244
333950,297354
349110,5
334230,2603954
337320,196643
337950,37903
339350,38965
340150,47171
344760,3525277
266510,266313
326460,1258569
356390,546
358130,22599
360940,27667
361280,89209
361640,33248
365210,3069
368360,67579
368500,525139
370100,72044
371300,4507
361800,175937
376210,152366
365160,2095
377080,8014
380600,237187
236870,462312
381120,111162
384190,13405
378660,9040
390290,6850
391220,798526
352460,206215
397780,3386
402020,6569
393380,1182381
410910,600
411570,11891
412450,6835
413710,43311
413870,10216
420930,2755
310360,32070
410890,13588
428690,294126
429570,50646
430440,50126
427730,222298
436430,0
438640,90247
244930,624790
440650,130
443810,106017
444260,9517
446020,32758
371660,359233
496890,3808
498240,27177
502940,1837
17020,1609586
213650,202680
305260,429506
332070,179134
393530,294966
438680,20279
265830,5928
278080,821951
290140,111085
247430,44953
289950,182158
232010,174922
258760,9332
302060,1749
302080,12145
407510,360172
39160,289722
234940,36406
40400,208985
254100,610
259320,747
267980,47671
271640,41524
278490,2478
283350,2311
285840,61350
287100,3307
292370,25835
292390,2917
293180,89813
308000,16243
308580,4042
311480,32001
312710,581
277950,111932
319180,34401
321150,37255
321400,6350
327410,31591
331710,98605
338050,44727
338550,257
340200,1960
343180,23
345220,26102
357780,40419
360130,167
364690,60371
368900,88648
385200,74562
397620,137806
400370,28321
410560,58217
422250,34878
424830,33732
428430,71946
431270,76890
348460,8939
447880,31314
345390,60136
11130,3404
348840,249
96800,47283
216370,672
225760,715
382120,42183
